               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,             0.01848,            0.011137,                   0,             0.93201,             0.96011,              0.9563,             0.65465,            0.024807,            0.018199,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017601,           0.0095196,                   0,             0.93194,             0.95909,              0.9565,             0.65343,            0.025097,            0.018222,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018156,            0.012184,                   0,             0.92892,             0.96109,             0.95846,             0.65983,            0.024535,            0.018277,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.018193,            0.011874,                   0,             0.92026,             0.96542,             0.95942,              0.6649,            0.024251,            0.018596,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017996,            0.011768,                   0,             0.92018,             0.96693,              0.9586,             0.66926,            0.024072,            0.018693,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.018043,            0.011094,                   0,               0.917,             0.96729,             0.95726,             0.66628,            0.024093,            0.018671,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017333,            0.010762,                   0,             0.92218,             0.96828,             0.95645,              0.6678,            0.023757,            0.018528,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.018142,            0.011075,                   0,             0.91878,             0.96833,             0.95598,             0.67094,            0.023579,            0.018443,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.017169,            0.010632,                   0,             0.91879,             0.96852,             0.95621,             0.66437,            0.023793,            0.018453,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017191,            0.010744,                   0,             0.91922,             0.96498,             0.95529,             0.66583,            0.023962,            0.018499,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.017669,            0.010744,                   0,             0.92018,             0.96446,             0.95688,             0.67168,            0.023472,            0.018305,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017365,            0.010976,                   0,             0.91974,             0.96304,             0.95757,              0.6753,            0.023219,            0.018316,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.017289,            0.012003,                   0,             0.92005,              0.9627,             0.95784,             0.67559,            0.023209,            0.018298,                   0,            0.000298,            0.000298,            0.000298
